;BB;cond;age;zf0_Original;zf0_Original_mum;M_minus_NM;M_minus_NM_mum
0;12;m100;6.3;-1.499579584341137;2.8823941345429707;-21.23138661715771;-25.45558473309393
2;12;m100;6.3;-1.499579584341137;-1.452167730195051;-21.23138661715771;-16.861639045909016
3;12;m100;6.3;-1.499579584341137;-0.8261787652695008;-21.23138661715771;-10.43039969960688
5;12;m100;6.3;-1.499579584341137;1.9846905548508555;-21.23138661715771;-1.5987543018073893
6;12;m100;6.3;11.771459990494979;2.8823941345429707;-35.078551088138454;-25.45558473309393
8;12;m100;6.3;11.771459990494979;-1.452167730195051;-35.078551088138454;-16.861639045909016
9;12;m100;6.3;11.771459990494979;-0.8261787652695008;-35.078551088138454;-10.43039969960688
11;12;m100;6.3;11.771459990494979;1.9846905548508555;-35.078551088138454;-1.5987543018073893
12;12;m100;6.3;0.9641859099734551;2.8823941345429707;-25.666523769863034;-25.45558473309393
14;12;m100;6.3;0.9641859099734551;-1.452167730195051;-25.666523769863034;-16.861639045909016
15;12;m100;6.3;0.9641859099734551;-0.8261787652695008;-25.666523769863034;-10.43039969960688
17;12;m100;6.3;0.9641859099734551;1.9846905548508555;-25.666523769863034;-1.5987543018073893
18;12;m100;6.3;1.8171390682177726;2.8823941345429707;-21.134541772188186;-25.45558473309393
20;12;m100;6.3;1.8171390682177726;-1.452167730195051;-21.134541772188186;-16.861639045909016
21;12;m100;6.3;1.8171390682177726;-0.8261787652695008;-21.134541772188186;-10.43039969960688
23;12;m100;6.3;1.8171390682177726;1.9846905548508555;-21.134541772188186;-1.5987543018073893
24;12;m100;6.3;0.04120551053921452;2.8823941345429707;-23.56813171405119;-25.45558473309393
26;12;m100;6.3;0.04120551053921452;-1.452167730195051;-23.56813171405119;-16.861639045909016
27;12;m100;6.3;0.04120551053921452;-0.8261787652695008;-23.56813171405119;-10.43039969960688
29;12;m100;6.3;0.04120551053921452;1.9846905548508555;-23.56813171405119;-1.5987543018073893
30;12;m100;6.3;4.364594029091535;2.8823941345429707;-18.954365744296297;-25.45558473309393
32;12;m100;6.3;4.364594029091535;-1.452167730195051;-18.954365744296297;-16.861639045909016
33;12;m100;6.3;4.364594029091535;-0.8261787652695008;-18.954365744296297;-10.43039969960688
35;12;m100;6.3;4.364594029091535;1.9846905548508555;-18.954365744296297;-1.5987543018073893
36;12;m100;6.3;2.5017343675033974;2.8823941345429707;-26.067623650036808;-25.45558473309393
38;12;m100;6.3;2.5017343675033974;-1.452167730195051;-26.067623650036808;-16.861639045909016
39;12;m100;6.3;2.5017343675033974;-0.8261787652695008;-26.067623650036808;-10.43039969960688
41;12;m100;6.3;2.5017343675033974;1.9846905548508555;-26.067623650036808;-1.5987543018073893
42;12;m100;6.3;1.7436829305422195;2.8823941345429707;-25.816144243554277;-25.45558473309393
44;12;m100;6.3;1.7436829305422195;-1.452167730195051;-25.816144243554277;-16.861639045909016
45;12;m100;6.3;1.7436829305422195;-0.8261787652695008;-25.816144243554277;-10.43039969960688
47;12;m100;6.3;1.7436829305422195;1.9846905548508555;-25.816144243554277;-1.5987543018073893
48;12;m100;6.3;12.329211743086187;2.8823941345429707;-35.642516085851355;-25.45558473309393
50;12;m100;6.3;12.329211743086187;-1.452167730195051;-35.642516085851355;-16.861639045909016
51;12;m100;6.3;12.329211743086187;-0.8261787652695008;-35.642516085851355;-10.43039969960688
53;12;m100;6.3;12.329211743086187;1.9846905548508555;-35.642516085851355;-1.5987543018073893
54;12;m100;6.3;1.2846842022866587;2.8823941345429707;-22.42692968850872;-25.45558473309393
56;12;m100;6.3;1.2846842022866587;-1.452167730195051;-22.42692968850872;-16.861639045909016
57;12;m100;6.3;1.2846842022866587;-0.8261787652695008;-22.42692968850872;-10.43039969960688
59;12;m100;6.3;1.2846842022866587;1.9846905548508555;-22.42692968850872;-1.5987543018073893
60;12;m100;6.3;-0.028187603854070393;2.8823941345429707;-23.338542451245644;-25.45558473309393
62;12;m100;6.3;-0.028187603854070393;-1.452167730195051;-23.338542451245644;-16.861639045909016
63;12;m100;6.3;-0.028187603854070393;-0.8261787652695008;-23.338542451245644;-10.43039969960688
65;12;m100;6.3;-0.028187603854070393;1.9846905548508555;-23.338542451245644;-1.5987543018073893
66;12;m100;6.3;3.432573806852004;2.8823941345429707;-20.427715783863277;-25.45558473309393
68;12;m100;6.3;3.432573806852004;-1.452167730195051;-20.427715783863277;-16.861639045909016
69;12;m100;6.3;3.432573806852004;-0.8261787652695008;-20.427715783863277;-10.43039969960688
71;12;m100;6.3;3.432573806852004;1.9846905548508555;-20.427715783863277;-1.5987543018073893
72;12;m100;6.3;2.0970548725788145;2.8823941345429707;-25.70176278182197;-25.45558473309393
74;12;m100;6.3;2.0970548725788145;-1.452167730195051;-25.70176278182197;-16.861639045909016
75;12;m100;6.3;2.0970548725788145;-0.8261787652695008;-25.70176278182197;-10.43039969960688
77;12;m100;6.3;2.0970548725788145;1.9846905548508555;-25.70176278182197;-1.5987543018073893
78;15;p100;6.466666666666667;-0.23542017714122854;1.6063643778981418;-0.32421987061434265;39.64070962530752
79;15;p100;6.466666666666667;-0.23542017714122854;-0.9588047548898424;-0.32421987061434265;29.002412357344383
80;15;p100;6.466666666666667;-0.23542017714122854;-1.2682032317484975;-0.32421987061434265;17.74505485112607
81;15;p100;6.466666666666667;-0.23542017714122854;-0.8368609886267236;-0.32421987061434265;25.579833572986786
82;15;p100;6.466666666666667;-0.23542017714122854;1.0858384398424514;-0.32421987061434265;42.43391391533385
83;15;p100;6.466666666666667;-0.7411926036957197;1.6063643778981418;25.951721023137907;39.64070962530752
84;15;p100;6.466666666666667;-0.7411926036957197;-0.9588047548898424;25.951721023137907;29.002412357344383
85;15;p100;6.466666666666667;-0.7411926036957197;-1.2682032317484975;25.951721023137907;17.74505485112607
86;15;p100;6.466666666666667;-0.7411926036957197;-0.8368609886267236;25.951721023137907;25.579833572986786
87;15;p100;6.466666666666667;-0.7411926036957197;1.0858384398424514;25.951721023137907;42.43391391533385
88;15;p100;6.466666666666667;-0.9021360025507781;1.6063643778981418;25.11105292326937;39.64070962530752
89;15;p100;6.466666666666667;-0.9021360025507781;-0.9588047548898424;25.11105292326937;29.002412357344383
90;15;p100;6.466666666666667;-0.9021360025507781;-1.2682032317484975;25.11105292326937;17.74505485112607
91;15;p100;6.466666666666667;-0.9021360025507781;-0.8368609886267236;25.11105292326937;25.579833572986786
92;15;p100;6.466666666666667;-0.9021360025507781;1.0858384398424514;25.11105292326937;42.43391391533385
93;18;m100;7.166666666666667;1.686621975895539;2.289931297050388;-41.1966999137469;-27.430984453390124
94;18;m100;7.166666666666667;1.686621975895539;2.025227591055243;-41.1966999137469;-43.39040893644267
95;18;m100;7.166666666666667;1.686621975895539;1.058360136420454;-41.1966999137469;-28.722859575132986
96;18;m100;7.166666666666667;1.686621975895539;1.8696613736655203;-41.1966999137469;-28.56925052994029
97;18;m100;7.166666666666667;1.686621975895539;-0.24958759571955705;-41.1966999137469;-29.648679952733062
98;18;m100;7.166666666666667;1.686621975895539;0.2049277405257317;-41.1966999137469;-29.626533712951527
99;18;m100;7.166666666666667;1.686621975895539;1.9163166513818304;-41.1966999137469;-37.920550804720506
100;18;m100;7.166666666666667;1.686621975895539;2.270852348092836;-41.1966999137469;-43.77831364015958
102;18;m100;7.166666666666667;1.686621975895539;1.4605798177551943;-41.1966999137469;-37.28523250858757
103;18;m100;7.166666666666667;0.7126981002305491;2.289931297050388;-35.15477594920111;-27.430984453390124
104;18;m100;7.166666666666667;0.7126981002305491;2.025227591055243;-35.15477594920111;-43.39040893644267
105;18;m100;7.166666666666667;0.7126981002305491;1.058360136420454;-35.15477594920111;-28.722859575132986
106;18;m100;7.166666666666667;0.7126981002305491;1.8696613736655203;-35.15477594920111;-28.56925052994029
